model,sampler,fold,tn,fp,fn,tp
CatBoost,BorderlineSMOTE,5,128,23,10,39
CatBoost,BorderlineSMOTE,6,135,15,12,38
CatBoost,BorderlineSMOTE,7,130,20,22,28
CatBoost,BorderlineSMOTE,8,131,20,13,36
CatBoost,BorderlineSMOTE,9,132,19,21,28
CatBoost,BorderlineSMOTE,10,135,16,20,29
CatBoost,BorderlineSMOTE,11,123,27,14,36
CatBoost,BorderlineSMOTE,12,135,15,16,34
CatBoost,BorderlineSMOTE,13,132,19,12,37
CatBoost,BorderlineSMOTE,14,133,18,25,24
CatBoost,BorderlineSMOTE,15,137,14,20,29
CatBoost,RandomUnderSampler,1,126,24,10,40
CatBoost,RandomUnderSampler,2,133,17,13,37
CatBoost,RandomUnderSampler,3,124,27,7,42
CatBoost,RandomUnderSampler,4,127,24,9,40
CatBoost,RandomUnderSampler,5,118,33,2,47
CatBoost,RandomUnderSampler,6,127,23,5,45
CatBoost,RandomUnderSampler,7,125,25,7,43
CatBoost,RandomUnderSampler,8,120,31,8,41
CatBoost,RandomUnderSampler,9,126,25,9,40
CatBoost,RandomUnderSampler,10,130,21,6,43
CatBoost,RandomUnderSampler,11,116,34,5,45
CatBoost,RandomUnderSampler,12,129,21,4,46
CatBoost,RandomUnderSampler,13,120,31,5,44
CatBoost,RandomUnderSampler,14,131,20,10,39
CatBoost,RandomUnderSampler,15,130,21,11,38
CatBoost,NearMiss,1,125,25,8,42
CatBoost,NearMiss,2,132,18,16,34
CatBoost,NearMiss,3,114,37,9,40
CatBoost,NearMiss,4,120,31,11,38
CatBoost,NearMiss,5,116,35,7,42
CatBoost,NearMiss,6,117,33,9,41
CatBoost,NearMiss,7,121,29,14,36
CatBoost,NearMiss,8,116,35,15,34
CatBoost,NearMiss,9,123,28,12,37
CatBoost,NearMiss,10,127,24,6,43
CatBoost,NearMiss,11,118,32,6,44
CatBoost,NearMiss,12,113,37,8,42
CatBoost,NearMiss,13,123,28,5,44
CatBoost,NearMiss,14,120,31,16,33
CatBoost,NearMiss,15,127,24,15,34
CatBoost,TomekLinks,1,133,17,18,32
CatBoost,TomekLinks,2,141,9,21,29
CatBoost,TomekLinks,3,133,18,17,32
CatBoost,TomekLinks,4,137,14,22,27
CatBoost,TomekLinks,5,130,21,13,36
CatBoost,TomekLinks,6,132,18,13,37
CatBoost,TomekLinks,7,131,19,19,31
CatBoost,TomekLinks,8,132,19,15,34
CatBoost,TomekLinks,9,132,19,21,28
CatBoost,TomekLinks,10,134,17,18,31
CatBoost,TomekLinks,11,123,27,13,37
CatBoost,TomekLinks,12,132,18,16,34
CatBoost,TomekLinks,13,130,21,14,35
CatBoost,TomekLinks,14,136,15,25,24
CatBoost,TomekLinks,15,136,15,19,30
CatBoost,ClusterCentroids,1,61,89,4,46
CatBoost,ClusterCentroids,2,81,69,5,45
CatBoost,ClusterCentroids,3,75,76,2,47
CatBoost,ClusterCentroids,4,69,82,3,46
CatBoost,ClusterCentroids,5,56,95,3,46
CatBoost,ClusterCentroids,6,42,108,3,47
CatBoost,ClusterCentroids,7,58,92,4,46
CatBoost,ClusterCentroids,8,87,64,6,43
CatBoost,ClusterCentroids,9,67,84,2,47
CatBoost,ClusterCentroids,10,57,94,0,49
CatBoost,ClusterCentroids,11,66,84,3,47
CatBoost,ClusterCentroids,12,68,82,2,48
CatBoost,ClusterCentroids,13,72,79,3,46
CatBoost,ClusterCentroids,14,97,54,6,43
CatBoost,ClusterCentroids,15,82,69,6,43
CatBoost,SMOTETomek,1,130,20,19,31
CatBoost,SMOTETomek,2,139,11,27,23
CatBoost,SMOTETomek,3,133,18,17,32
CatBoost,SMOTETomek,4,136,15,19,30
CatBoost,SMOTETomek,5,124,27,15,34
CatBoost,SMOTETomek,6,134,16,15,35
CatBoost,SMOTETomek,7,131,19,19,31
CatBoost,SMOTETomek,8,133,18,15,34
CatBoost,SMOTETomek,9,132,19,17,32
CatBoost,SMOTETomek,10,136,15,15,34
CatBoost,SMOTETomek,11,124,26,15,35
CatBoost,SMOTETomek,12,134,16,19,31
CatBoost,SMOTETomek,13,132,19,9,40
CatBoost,SMOTETomek,14,133,18,23,26
CatBoost,SMOTETomek,15,138,13,17,32
CatBoost,SMOTEENN,1,11,139,0,50
CatBoost,SMOTEENN,2,16,134,2,48
CatBoost,SMOTEENN,3,15,136,1,48
CatBoost,SMOTEENN,4,16,135,1,48
CatBoost,SMOTEENN,5,23,128,2,47
CatBoost,SMOTEENN,6,30,120,4,46
CatBoost,SMOTEENN,7,19,131,0,50
CatBoost,SMOTEENN,8,8,143,1,48
CatBoost,SMOTEENN,9,3,148,0,49
CatBoost,SMOTEENN,10,18,133,3,46
CatBoost,SMOTEENN,11,13,137,2,48
CatBoost,SMOTEENN,12,32,118,1,49
CatBoost,SMOTEENN,13,18,133,0,49
CatBoost,SMOTEENN,14,4,147,0,49
CatBoost,SMOTEENN,15,17,134,1,48
LightGBM,No Sampling,1,135,15,24,26
LightGBM,No Sampling,2,142,8,27,23
LightGBM,No Sampling,3,129,22,19,30
LightGBM,No Sampling,4,137,14,22,27
LightGBM,No Sampling,5,128,23,13,36
LightGBM,No Sampling,6,133,17,24,26
LightGBM,No Sampling,7,134,16,27,23
LightGBM,No Sampling,8,136,15,21,28
LightGBM,No Sampling,9,133,18,23,26
LightGBM,No Sampling,10,134,17,16,33
LightGBM,No Sampling,11,130,20,19,31
