model,sampler,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,fp_per_tp,train_time_sec,tn,fp,fn,tp
ANN,SMOTE,5,0.7361835245046924,0.1198501872659176,0.64,0.20189274447949526,0.7932453245324532,0.1564707010946866,7.34375,27.829474337000647,1348,470,36,64
ANN,SMOTE,6,0.7212089630015633,0.1269296740994854,0.74,0.21669106881405564,0.7925810885101705,0.13965360094267507,6.878378378378378,29.878981915000622,1310,509,26,74
ANN,SMOTE,7,0.7399687337154768,0.1366120218579235,0.75,0.23112480739599384,0.8398653106102254,0.21767448873409456,6.32,28.845889745000022,1345,474,25,75
ANN,SMOTE,8,0.7535174570088587,0.1420345489443378,0.74,0.23832528180354268,0.82869708631116,0.18755560445085603,6.04054054054054,28.28998839399992,1372,447,26,74
ANN,SMOTE,9,0.7262773722627737,0.12522045855379188,0.71,0.2128935532233883,0.8062458745874588,0.13676262587288057,6.985915492957746,27.223194854999747,1322,496,29,71
ANN,SMOTE,10,0.7502606882168926,0.12770137524557956,0.65,0.2134646962233169,0.8028245324532454,0.15623422393058917,6.8307692307692305,28.676755851999587,1374,444,35,65
ANN,SMOTE,11,0.7347576862949453,0.12477064220183487,0.68,0.21085271317829457,0.8018856514568444,0.15223271718083373,7.014705882352941,27.641525449000255,1342,477,32,68
ANN,SMOTE,12,0.720166753517457,0.12131715771230503,0.7,0.206794682422452,0.800981308411215,0.18565200905290505,7.242857142857143,27.150920121000127,1312,507,30,70
ANN,SMOTE,13,0.7587285044293903,0.14201183431952663,0.72,0.2372322899505766,0.8341973611874657,0.1848804559782503,6.041666666666667,28.647830345999864,1384,435,28,72
ANN,SMOTE,14,0.7247132429614181,0.12717770034843207,0.73,0.2166172106824926,0.8173487348734874,0.16515130669603909,6.863013698630137,27.721627465999518,1317,501,27,73
ANN,SMOTE,15,0.7419186652763295,0.13493530499075784,0.73,0.22776911076443057,0.8192904290429043,0.18162379385622202,6.410958904109589,27.7874445260004,1350,468,27,73
ANN,ADASYN,1,0.7399687337154768,0.14311270125223613,0.8,0.24279210925644917,0.81956019791094,0.16189490867615988,5.9875,27.740418809000403,1340,479,20,80
ANN,ADASYN,2,0.7347576862949453,0.12199630314232902,0.66,0.2059282371294852,0.8016767454645409,0.1627557747980854,7.196969696969697,27.765980977000254,1344,475,34,66
ANN,ADASYN,3,0.7373632100052111,0.1259259259259259,0.68,0.2125,0.8099917537108301,0.17117951735258577,6.9411764705882355,28.63378250599999,1347,472,32,68
ANN,ADASYN,4,0.721584984358707,0.12195121951219512,0.7,0.20771513353115728,0.8055060506050605,0.17652871388378233,7.2,27.079563356999643,1314,504,30,70
ANN,ADASYN,5,0.700208550573514,0.1187800963081862,0.74,0.20470262793914246,0.8020792079207921,0.1636336236347853,7.418918918918919,27.746337266999944,1269,549,26,74
ANN,ADASYN,6,0.7472642001042209,0.13051823416506717,0.68,0.21900161030595813,0.7965118196811435,0.1617265091463043,6.661764705882353,26.06303628600017,1366,453,32,68
ANN,ADASYN,7,0.7420531526836894,0.14025500910746813,0.77,0.23728813559322035,0.838842770753161,0.19876504124874275,6.12987012987013,26.961465109000528,1347,472,23,77
ANN,ADASYN,8,0.7410109431995832,0.13172541743970315,0.71,0.2222222222222222,0.8223804288070368,0.18342980233695405,6.591549295774648,27.10255700700054,1351,468,29,71
ANN,ADASYN,9,0.7075078206465067,0.12641815235008103,0.78,0.2175732217573222,0.8092766776677669,0.1484465253530964,6.910256410256411,26.36057553700084,1279,539,22,78
ANN,ADASYN,10,0.7554744525547445,0.13609467455621302,0.69,0.2273476112026359,0.8072634763476347,0.14592986062468993,6.3478260869565215,27.181680171999687,1380,438,31,69
ANN,ADASYN,11,0.7415320479416363,0.12921348314606743,0.69,0.21766561514195584,0.8030181418361737,0.15313993661549796,6.739130434782608,27.003561464000086,1354,465,31,69
ANN,ADASYN,12,0.7337154768108389,0.12568306010928962,0.69,0.21263482280431434,0.8033067619571193,0.18368339427290822,6.956521739130435,35.304208313000345,1339,480,31,69
ANN,ADASYN,13,0.7493486190724336,0.1343570057581574,0.7,0.22544283413848631,0.8255332600329851,0.17372953791883514,6.442857142857143,29.465589154000554,1368,451,30,70
ANN,ADASYN,14,0.7570385818561001,0.1411764705882353,0.72,0.2360655737704918,0.8245874587458746,0.17673826745384114,6.083333333333333,28.82005586899959,1380,438,28,72
ANN,ADASYN,15,0.7424400417101147,0.13653136531365315,0.74,0.23052959501557632,0.8224202420242025,0.1595474460160412,6.324324324324325,31.80643346099987,1350,468,26,74
ANN,BorderlineSMOTE,1,0.7894736842105263,0.1591928251121076,0.71,0.2600732600732601,0.8415997800989554,0.17342211943853242,5.28169014084507,30.041861014999995,1444,375,29,71
ANN,BorderlineSMOTE,2,0.7613340281396561,0.11255411255411256,0.52,0.18505338078291814,0.799604178119846,0.15290305398627999,7.884615384615385,53.6671983010001,1409,410,48,52
ANN,BorderlineSMOTE,3,0.7806149035956227,0.14093959731543623,0.63,0.2303473491773309,0.8312616822429907,0.18550318854057413,6.095238095238095,27.421584966999944,1435,384,37,63
ANN,BorderlineSMOTE,4,0.7799791449426486,0.1340909090909091,0.59,0.21851851851851853,0.8207425742574258,0.20404508415607478,6.4576271186440675,28.820667189000233,1437,381,41,59
ANN,BorderlineSMOTE,5,0.7789363920750783,0.13513513513513514,0.6,0.22058823529411764,0.8131518151815181,0.16811076432926414,6.4,29.41892149100022,1434,384,40,60
ANN,BorderlineSMOTE,6,0.7483064095883273,0.1267056530214425,0.65,0.21207177814029363,0.7998873007146784,0.14597935455581243,6.892307692307693,51.99671015199965,1371,448,35,65
ANN,BorderlineSMOTE,7,0.7816571130797291,0.15550755939524838,0.72,0.2557726465364121,0.8506074766355141,0.2748812719642714,5.430555555555555,28.198905895999815,1428,391,28,72
ANN,BorderlineSMOTE,8,0.7858259510161543,0.14578587699316628,0.64,0.23747680890538034,0.8339362286970864,0.1792040134341761,5.859375,27.45321054499982,1444,375,36,64
ANN,BorderlineSMOTE,9,0.7737226277372263,0.1461864406779661,0.69,0.24125874125874125,0.8220489548954896,0.1527655923644524,5.840579710144928,28.09229446900008,1415,403,31,69
ANN,BorderlineSMOTE,10,0.8039624608967675,0.140625,0.54,0.2231404958677686,0.8176155115511552,0.1719902073262387,6.111111111111111,26.466377247999844,1488,330,46,54
ANN,BorderlineSMOTE,11,0.7832204273058885,0.12380952380952381,0.52,0.2,0.8126608026388126,0.16162102869888212,7.076923076923077,28.589844870999514,1451,368,48,52
ANN,BorderlineSMOTE,12,0.7488275143303804,0.12840466926070038,0.66,0.21498371335504887,0.8133727322704782,0.1867049386730671,6.787878787878788,27.737062539000362,1371,448,34,66
ANN,BorderlineSMOTE,13,0.7946847316310578,0.14492753623188406,0.6,0.23346303501945526,0.8338894997251237,0.18683829812728325,5.9,28.91037214500011,1465,354,40,60
ANN,BorderlineSMOTE,14,0.8023983315954119,0.13953488372093023,0.54,0.22176591375770022,0.831056105610561,0.17665868776074017,6.166666666666667,27.14344344700021,1485,333,46,54
ANN,BorderlineSMOTE,15,0.7768508863399375,0.15106382978723404,0.71,0.24912280701754386,0.8357920792079208,0.16789614552928825,5.619718309859155,27.26718485499987,1419,399,29,71
ANN,RandomUnderSampler,1,0.6545075560187598,0.12616201859229748,0.95,0.2227432590855803,0.8389664650907092,0.16300289961511882,6.926315789473684,3.7257697360000748,1161,658,5,95
ANN,RandomUnderSampler,2,0.6503387180823346,0.12185430463576159,0.92,0.2152046783625731,0.8276525563496427,0.19449902602876726,7.206521739130435,3.646114659999512,1156,663,8,92
ANN,RandomUnderSampler,3,0.6732673267326733,0.12939521800281295,0.92,0.22688039457459927,0.837144035184167,0.20424566943442343,6.728260869565218,4.727050816999508,1200,619,8,92
