model,sampler,fold,tn,fp,fn,tp
XGBoost,BorderlineSMOTE,9,1808,10,98,2
XGBoost,BorderlineSMOTE,10,1815,3,100,0
XGBoost,BorderlineSMOTE,11,1813,6,98,2
XGBoost,BorderlineSMOTE,12,1817,2,98,2
XGBoost,BorderlineSMOTE,13,1808,11,97,3
XGBoost,BorderlineSMOTE,14,1810,8,96,4
XGBoost,BorderlineSMOTE,15,1807,11,97,3
XGBoost,RandomUnderSampler,1,1253,566,18,82
XGBoost,RandomUnderSampler,2,1272,547,13,87
XGBoost,RandomUnderSampler,3,1305,514,19,81
XGBoost,RandomUnderSampler,4,1236,582,16,84
XGBoost,RandomUnderSampler,5,1251,567,14,86
XGBoost,RandomUnderSampler,6,1266,553,24,76
XGBoost,RandomUnderSampler,7,1291,528,12,88
XGBoost,RandomUnderSampler,8,1251,568,13,87
XGBoost,RandomUnderSampler,9,1293,525,23,77
XGBoost,RandomUnderSampler,10,1307,511,15,85
XGBoost,RandomUnderSampler,11,1269,550,13,87
XGBoost,RandomUnderSampler,12,1285,534,17,83
XGBoost,RandomUnderSampler,13,1304,515,24,76
XGBoost,RandomUnderSampler,14,1270,548,16,84
XGBoost,RandomUnderSampler,15,1234,584,16,84
XGBoost,NearMiss,1,409,1410,31,69
XGBoost,NearMiss,2,353,1466,30,70
XGBoost,NearMiss,3,305,1514,34,66
XGBoost,NearMiss,4,372,1446,31,69
XGBoost,NearMiss,5,412,1406,31,69
XGBoost,NearMiss,6,421,1398,37,63
XGBoost,NearMiss,7,437,1382,36,64
XGBoost,NearMiss,8,317,1502,26,74
XGBoost,NearMiss,9,357,1461,27,73
XGBoost,NearMiss,10,303,1515,32,68
XGBoost,NearMiss,11,361,1458,33,67
XGBoost,NearMiss,12,397,1422,29,71
XGBoost,NearMiss,13,266,1553,22,78
XGBoost,NearMiss,14,412,1406,33,67
XGBoost,NearMiss,15,364,1454,32,68
XGBoost,TomekLinks,1,1807,12,99,1
XGBoost,TomekLinks,2,1815,4,97,3
XGBoost,TomekLinks,3,1807,12,97,3
XGBoost,TomekLinks,4,1816,2,96,4
XGBoost,TomekLinks,5,1814,4,97,3
XGBoost,TomekLinks,6,1810,9,97,3
XGBoost,TomekLinks,7,1815,4,99,1
XGBoost,TomekLinks,8,1813,6,97,3
XGBoost,TomekLinks,9,1809,9,99,1
XGBoost,TomekLinks,10,1817,1,99,1
XGBoost,TomekLinks,11,1815,4,99,1
XGBoost,TomekLinks,12,1814,5,97,3
XGBoost,TomekLinks,13,1813,6,99,1
XGBoost,TomekLinks,14,1817,1,97,3
XGBoost,TomekLinks,15,1811,7,98,2
XGBoost,ClusterCentroids,1,81,1738,0,100
XGBoost,ClusterCentroids,2,370,1449,0,100
XGBoost,ClusterCentroids,3,128,1691,1,99
XGBoost,ClusterCentroids,4,103,1715,1,99
XGBoost,ClusterCentroids,5,90,1728,0,100
XGBoost,ClusterCentroids,6,338,1481,0,100
XGBoost,ClusterCentroids,7,116,1703,0,100
XGBoost,ClusterCentroids,8,231,1588,0,100
XGBoost,ClusterCentroids,9,512,1306,0,100
XGBoost,ClusterCentroids,10,551,1267,0,100
XGBoost,ClusterCentroids,11,50,1769,0,100
XGBoost,ClusterCentroids,12,578,1241,0,100
XGBoost,ClusterCentroids,13,93,1726,0,100
XGBoost,ClusterCentroids,14,41,1777,0,100
XGBoost,ClusterCentroids,15,517,1301,0,100
XGBoost,SMOTETomek,1,1812,7,99,1
XGBoost,SMOTETomek,2,1818,1,97,3
XGBoost,SMOTETomek,3,1809,10,97,3
XGBoost,SMOTETomek,4,1810,8,98,2
XGBoost,SMOTETomek,5,1814,4,100,0
XGBoost,SMOTETomek,6,1813,6,95,5
XGBoost,SMOTETomek,7,1816,3,100,0
XGBoost,SMOTETomek,8,1816,3,98,2
XGBoost,SMOTETomek,9,1813,5,99,1
XGBoost,SMOTETomek,10,1816,2,99,1
XGBoost,SMOTETomek,11,1818,1,99,1
XGBoost,SMOTETomek,12,1818,1,99,1
XGBoost,SMOTETomek,13,1811,8,98,2
XGBoost,SMOTETomek,14,1814,4,97,3
XGBoost,SMOTETomek,15,1807,11,96,4
XGBoost,SMOTEENN,1,1730,89,79,21
XGBoost,SMOTEENN,2,1752,67,79,21
XGBoost,SMOTEENN,3,1731,88,76,24
XGBoost,SMOTEENN,4,1729,89,76,24
XGBoost,SMOTEENN,5,1739,79,78,22
XGBoost,SMOTEENN,6,1705,114,73,27
XGBoost,SMOTEENN,7,1743,76,76,24
XGBoost,SMOTEENN,8,1743,76,72,28
XGBoost,SMOTEENN,9,1732,86,85,15
XGBoost,SMOTEENN,10,1743,75,73,27
XGBoost,SMOTEENN,11,1738,81,78,22
XGBoost,SMOTEENN,12,1747,72,78,22
XGBoost,SMOTEENN,13,1735,84,80,20
XGBoost,SMOTEENN,14,1750,68,81,19
XGBoost,SMOTEENN,15,1741,77,77,23
CatBoost,No Sampling,1,1800,19,96,4
CatBoost,No Sampling,2,1806,13,98,2
CatBoost,No Sampling,3,1810,9,97,3
CatBoost,No Sampling,4,1804,14,93,7
CatBoost,No Sampling,5,1808,10,97,3
CatBoost,No Sampling,6,1809,10,94,6
CatBoost,No Sampling,7,1813,6,98,2
CatBoost,No Sampling,8,1800,19,96,4
CatBoost,No Sampling,9,1803,15,98,2
CatBoost,No Sampling,10,1815,3,99,1
CatBoost,No Sampling,11,1804,15,97,3
CatBoost,No Sampling,12,1806,13,94,6
CatBoost,No Sampling,13,1811,8,98,2
CatBoost,No Sampling,14,1808,10,97,3
CatBoost,No Sampling,15,1803,15,94,6
CatBoost,Cost Sensitive,1,1630,189,50,50
CatBoost,Cost Sensitive,2,1654,165,58,42
CatBoost,Cost Sensitive,3,1648,171,64,36
CatBoost,Cost Sensitive,4,1641,177,56,44
CatBoost,Cost Sensitive,5,1669,149,64,36
CatBoost,Cost Sensitive,6,1662,157,57,43
CatBoost,Cost Sensitive,7,1662,157,50,50
CatBoost,Cost Sensitive,8,1657,162,58,42
CatBoost,Cost Sensitive,9,1636,182,62,38
CatBoost,Cost Sensitive,10,1665,153,56,44
CatBoost,Cost Sensitive,11,1652,167,54,46
CatBoost,Cost Sensitive,12,1657,162,53,47
CatBoost,Cost Sensitive,13,1660,159,62,38
CatBoost,Cost Sensitive,14,1656,162,59,41
CatBoost,Cost Sensitive,15,1636,182,61,39
CatBoost,RandomOverSampler,1,1660,159,57,43
CatBoost,RandomOverSampler,2,1676,143,69,31
CatBoost,RandomOverSampler,3,1678,141,61,39
CatBoost,RandomOverSampler,4,1656,162,62,38
