model,sampler,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,fp_per_tp,train_time_sec,tn,fp,fn,tp
LightGBM,BorderlineSMOTE,3,0.815,0.6111111111111112,0.673469387755102,0.6407766990291263,0.8379510744695228,0.5518908457054456,0.6363636363636364,0.9532083109997984,130,21,16,33
LightGBM,BorderlineSMOTE,4,0.825,0.6521739130434783,0.6122448979591837,0.631578947368421,0.8637653736991485,0.6271865288719757,0.5333333333333333,1.6548640930004694,135,16,19,30
LightGBM,BorderlineSMOTE,5,0.85,0.6461538461538462,0.8571428571428571,0.7368421052631579,0.8761994864170832,0.6074971499813897,0.5476190476190477,1.89517301900014,128,23,7,42
LightGBM,BorderlineSMOTE,6,0.84,0.6666666666666666,0.72,0.6923076923076923,0.8657333333333334,0.6783574322164524,0.5,0.9408008959999279,132,18,14,36
LightGBM,BorderlineSMOTE,7,0.825,0.6530612244897959,0.64,0.6464646464646465,0.8086666666666666,0.5328256141278866,0.53125,0.8582488760002889,133,17,18,32
LightGBM,BorderlineSMOTE,8,0.8,0.5918367346938775,0.5918367346938775,0.5918367346938775,0.8044330314907421,0.5585843034174957,0.6896551724137931,0.8454922339997211,131,20,20,29
LightGBM,BorderlineSMOTE,9,0.8,0.5957446808510638,0.5714285714285714,0.5833333333333334,0.8406541424516827,0.604300384864989,0.6785714285714286,0.9178576530002829,132,19,21,28
LightGBM,BorderlineSMOTE,10,0.835,0.6739130434782609,0.6326530612244898,0.6526315789473685,0.8971482632788215,0.6756929910690669,0.4838709677419355,0.9265003589998742,136,15,18,31
LightGBM,BorderlineSMOTE,11,0.805,0.5901639344262295,0.72,0.6486486486486487,0.8394666666666666,0.5336376880012221,0.6944444444444444,0.9230753719994027,125,25,14,36
LightGBM,BorderlineSMOTE,12,0.835,0.6666666666666666,0.68,0.6732673267326733,0.8916,0.6289174460537263,0.5,0.9104919240007803,133,17,16,34
LightGBM,BorderlineSMOTE,13,0.86,0.6842105263157895,0.7959183673469388,0.7358490566037735,0.880118934991215,0.6512807128939685,0.46153846153846156,0.9386603220000325,133,18,10,39
LightGBM,BorderlineSMOTE,14,0.795,0.6,0.4897959183673469,0.5393258426966292,0.8241654277605082,0.573766617168294,0.6666666666666666,0.9238669579999623,135,16,25,24
LightGBM,BorderlineSMOTE,15,0.81,0.6341463414634146,0.5306122448979592,0.5777777777777777,0.8287606433301797,0.6086269063476941,0.5769230769230769,1.2725794369998766,136,15,23,26
LightGBM,RandomUnderSampler,1,0.84,0.6323529411764706,0.86,0.7288135593220338,0.8594666666666666,0.5611237945926445,0.5813953488372093,1.192081424999742,125,25,7,43
LightGBM,RandomUnderSampler,2,0.77,0.5357142857142857,0.6,0.5660377358490566,0.7869333333333333,0.549642048424823,0.8666666666666667,0.6479826969998612,124,26,20,30
LightGBM,RandomUnderSampler,3,0.8,0.5584415584415584,0.8775510204081632,0.6825396825396826,0.8556561697526693,0.5982069126896912,0.7906976744186046,0.15742490999946313,117,34,6,43
LightGBM,RandomUnderSampler,4,0.795,0.5588235294117647,0.7755102040816326,0.6495726495726496,0.8282200297337479,0.526062029912159,0.7894736842105263,0.14814603800004988,121,30,11,38
LightGBM,RandomUnderSampler,5,0.775,0.5227272727272727,0.9387755102040817,0.6715328467153284,0.8625489931071767,0.5927119532329562,0.9130434782608695,0.15582159600035084,109,42,3,46
LightGBM,RandomUnderSampler,6,0.79,0.5588235294117647,0.76,0.6440677966101694,0.7824000000000001,0.5861224603277438,0.7894736842105263,0.17823924499953137,120,30,12,38
LightGBM,RandomUnderSampler,7,0.81,0.5882352941176471,0.8,0.6779661016949152,0.8148,0.528029718429886,0.7,0.16156805500031624,122,28,10,40
LightGBM,RandomUnderSampler,8,0.805,0.5757575757575758,0.7755102040816326,0.6608695652173913,0.792404378970131,0.5132522807436228,0.7368421052631579,0.15363026300019555,123,28,11,38
LightGBM,RandomUnderSampler,9,0.81,0.5753424657534246,0.8571428571428571,0.6885245901639344,0.8591701581294768,0.6792916854037474,0.7380952380952381,0.13493306600048527,120,31,7,42
LightGBM,RandomUnderSampler,10,0.805,0.5714285714285714,0.8163265306122449,0.6722689075630253,0.8703878902554399,0.6713991343393501,0.75,0.15567551200001617,121,30,9,40
LightGBM,RandomUnderSampler,11,0.77,0.524390243902439,0.86,0.6515151515151515,0.8337333333333333,0.5308422861243707,0.9069767441860465,0.19462089099943114,111,39,7,43
LightGBM,RandomUnderSampler,12,0.85,0.6388888888888888,0.92,0.7540983606557377,0.8889333333333334,0.6516849672025156,0.5652173913043478,0.16331324800012226,124,26,4,46
LightGBM,RandomUnderSampler,13,0.81,0.5774647887323944,0.8367346938775511,0.6833333333333333,0.8637653736991484,0.6157658546357708,0.7317073170731707,0.15864732899990486,121,30,8,41
LightGBM,RandomUnderSampler,14,0.84,0.639344262295082,0.7959183673469388,0.7090909090909091,0.8290309501283958,0.6481243472681867,0.5641025641025641,0.16232163199947536,129,22,10,39
LightGBM,RandomUnderSampler,15,0.795,0.5606060606060606,0.7551020408163265,0.6434782608695652,0.826327882146236,0.5425634857653594,0.7837837837837838,0.15081307099990227,122,29,12,37
